road_id,station,lat,lon,measure_dt,vsp_1,vsp_1_q,vsp_2,vsp_2_q,vsp_3,vsp_3_q,visib,visib_q,clouds,clouds_q,weather_range,weather_range_q,weather_on_measure,weather_on_measure_q,wind_dir,wind_dir_q,avg_wind,avg_wind_q,max_wind,max_wind_q,precip,precip_q,temp_on_measure,temp_on_measure_q,temp_min,temp_min_q,temp_max,temp_max_q,humidity,humidity_q,pressure,pressure_q
9,ALEKSAN,56.4,38.75,2015-01-01 18:00:00,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,97.0,Значение элемента достоверно,6.0,Значение элемента достоверно,Пасмурно или облачность более 5 баллов,Значение элемента достоверно,Облака рассеиваются,Значение элемента достоверно,229.0,Значение элемента достоверно,2.0,Значение элемента достоверно,5.0,Значение элемента достоверно,,Значение элемента отсутствует,-8.4,Значение элемента достоверно,-9.7,Значение элемента достоверно,-8.4,Значение элемента достоверно,95.0,Значение элемента достоверно,986.2,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,2015-01-01 21:00:00,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,97.0,Значение элемента достоверно,6.0,Значение элемента достоверно,Пасмурно или облачность более 5 баллов,Значение элемента достоверно,Небо без изменений,Значение элемента достоверно,220.0,Значение элемента достоверно,2.0,Значение элемента достоверно,5.0,Значение элемента достоверно,,Значение элемента отсутствует,-6.8,Значение элемента достоверно,-8.4,Значение элемента достоверно,-6.4,Значение элемента достоверно,92.0,Значение элемента достоверно,985.0,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,2015-01-01 00:00:00,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,97.0,Значение элемента достоверно,9.0,Значение элемента достоверно,Пасмурно или облачность более 5 баллов,Значение элемента достоверно,Облака развиваются,Значение элемента достоверно,261.0,Значение элемента достоверно,1.0,Значение элемента достоверно,3.0,Значение элемента достоверно,,Значение элемента отсутствует,-4.8,Значение элемента достоверно,-7.0,Значение элемента достоверно,-4.8,Значение элемента достоверно,97.0,Значение элемента достоверно,984.8,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,2015-01-01 03:00:00,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,97.0,Значение элемента достоверно,6.0,Значение элемента достоверно,Пасмурно или облачность более 5 баллов,Значение элемента достоверно,Облака рассеиваются,Значение элемента достоверно,294.0,Значение элемента достоверно,1.0,Значение элемента достоверно,5.0,Значение элемента достоверно,,Значение элемента отсутствует,-3.5,Значение элемента достоверно,-4.8,Значение элемента достоверно,-3.5,Значение элемента достоверно,96.0,Значение элемента достоверно,985.3,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,2015-01-01 06:00:00,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,97.0,Значение элемента достоверно,10.0,Значение элемента достоверно,Пасмурно или облачность более 5 баллов,Значение элемента достоверно,Облака развиваются,Значение элемента достоверно,290.0,Значение элемента достоверно,1.0,Значение элемента достоверно,4.0,Значение элемента достоверно,,Значение элемента отсутствует,-2.6,Значение элемента достоверно,-3.5,Значение элемента достоверно,-2.6,Значение элемента достоверно,95.0,Значение элемента достоверно,986.1,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,2015-01-01 09:00:00,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,98.0,Значение элемента достоверно,12.0,Значение элемента достоверно,Снег или дождь со снегом,Значение элемента достоверно,Снег,Значение элемента достоверно,277.0,Значение элемента достоверно,1.0,Значение элемента достоверно,3.0,Значение элемента достоверно,,Значение элемента отсутствует,-1.5,Значение элемента достоверно,-2.9,Значение элемента достоверно,-1.5,Значение элемента достоверно,93.0,Значение элемента достоверно,986.5,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,2015-01-01 12:00:00,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,97.0,Значение элемента достоверно,10.0,Значение элемента достоверно,Снег или дождь со снегом,Значение элемента достоверно,Облака развиваются,Значение элемента достоверно,243.0,Значение элемента достоверно,2.0,Значение элемента достоверно,5.0,Значение элемента достоверно,,Значение элемента отсутствует,-0.8,Значение элемента достоверно,-1.5,Значение элемента достоверно,-0.7,Значение элемента достоверно,94.0,Значение элемента достоверно,985.9,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,2015-01-01 15:00:00,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,97.0,Значение элемента достоверно,10.0,Значение элемента достоверно,Снег или дождь со снегом,Значение элемента достоверно,Снег слабый непрерывный,Значение элемента достоверно,227.0,Значение элемента достоверно,2.0,Значение элемента достоверно,5.0,Значение элемента достоверно,0.2,Значение элемента достоверно,-0.4,Значение элемента достоверно,-0.8,Значение элемента достоверно,-0.4,Значение элемента достоверно,96.0,Значение элемента достоверно,985.2,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,2015-01-02 18:00:00,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,96.0,Значение элемента достоверно,10.0,Значение элемента достоверно,Снег или дождь со снегом,Значение элемента достоверно,Снег умеренный непрерывный,Значение элемента достоверно,229.0,Значение элемента достоверно,2.0,Значение элемента достоверно,4.0,Значение элемента достоверно,,Значение элемента отсутствует,0.0,Значение элемента достоверно,-0.4,Значение элемента достоверно,0.0,Значение элемента достоверно,96.0,Значение элемента достоверно,983.9,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,2015-01-02 21:00:00,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,96.0,Значение элемента достоверно,10.0,Значение элемента достоверно,Снег или дождь со снегом,Значение элемента достоверно,Снег умеренный непрерывный,Значение элемента достоверно,215.0,Значение элемента достоверно,2.0,Значение элемента достоверно,5.0,Значение элемента достоверно,,Значение элемента отсутствует,0.2,Значение элемента достоверно,-0.1,Значение элемента достоверно,0.2,Значение элемента достоверно,96.0,Значение элемента достоверно,982.5,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,2015-01-02 00:00:00,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,97.0,Значение элемента достоверно,10.0,Значение элемента достоверно,Снег или дождь со снегом,Значение элемента достоверно,Дождь слабый непрерывный,Значение элемента достоверно,243.0,Значение элемента достоверно,2.0,Значение элемента достоверно,6.0,Значение элемента достоверно,,Значение элемента отсутствует,0.7,Значение элемента достоверно,0.2,Значение элемента достоверно,0.7,Значение элемента достоверно,96.0,Значение элемента достоверно,981.6,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,2015-01-02 03:00:00,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,97.0,Значение элемента достоверно,10.0,Значение элемента достоверно,Дождь,Значение элемента достоверно,Небо без изменений,Значение элемента достоверно,254.0,Значение элемента достоверно,3.0,Значение элемента достоверно,8.0,Значение элемента достоверно,1.8,Значение элемента достоверно,0.6,Значение элемента достоверно,0.6,Значение элемента достоверно,0.8,Значение элемента достоверно,90.0,Значение элемента достоверно,980.1,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,2015-01-02 06:00:00,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,97.0,Значение элемента достоверно,10.0,Значение элемента достоверно,Дождь,Значение элемента достоверно,Небо без изменений,Значение элемента достоверно,242.0,Значение элемента достоверно,3.0,Значение элемента достоверно,7.0,Значение элемента достоверно,,Значение элемента отсутствует,0.4,Значение элемента достоверно,0.2,Значение элемента достоверно,0.7,Значение элемента достоверно,94.0,Значение элемента достоверно,978.7,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,2015-01-02 09:00:00,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,97.0,Значение элемента достоверно,10.0,Значение элемента достоверно,Дождь,Значение элемента достоверно,Дождь умеренный непрерывный,Значение элемента достоверно,246.0,Значение элемента достоверно,3.0,Значение элемента достоверно,7.0,Значение элемента достоверно,,Значение элемента отсутствует,1.1,Значение элемента достоверно,0.4,Значение элемента достоверно,1.1,Значение элемента достоверно,93.0,Значение элемента достоверно,978.0,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,2015-01-02 12:00:00,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,97.0,Значение элемента достоверно,10.0,Значение элемента достоверно,Дождь,Значение элемента достоверно,Дождь слабый непрерывный,Значение элемента достоверно,229.0,Значение элемента достоверно,3.0,Значение элемента достоверно,6.0,Значение элемента достоверно,,Значение элемента отсутствует,1.2,Значение элемента достоверно,1.1,Значение элемента достоверно,1.4,Значение элемента достоверно,92.0,Значение элемента достоверно,976.1,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,2015-01-02 15:00:00,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,97.0,Значение элемента достоверно,10.0,Значение элемента достоверно,Дождь,Значение элемента достоверно,Небо без изменений,Значение элемента достоверно,214.0,Значение элемента достоверно,3.0,Значение элемента достоверно,8.0,Значение элемента достоверно,0.5,Значение элемента достоверно,1.0,Значение элемента достоверно,0.8,Значение элемента достоверно,1.2,Значение элемента достоверно,92.0,Значение элемента достоверно,973.5,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,2015-01-03 18:00:00,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,97.0,Значение элемента достоверно,10.0,Значение элемента достоверно,Дождь,Значение элемента достоверно,Небо без изменений,Значение элемента достоверно,192.0,Значение элемента достоверно,4.0,Значение элемента достоверно,9.0,Значение элемента достоверно,,Значение элемента отсутствует,0.7,Значение элемента достоверно,0.7,Значение элемента достоверно,1.0,Значение элемента достоверно,95.0,Значение элемента достоверно,968.3,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,2015-01-03 21:00:00,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,93.0,Значение элемента достоверно,10.0,Значение элемента достоверно,Ливневые осадки,Значение элемента достоверно,Ливневый снег умеренный или сильный,Значение элемента достоверно,196.0,Значение элемента достоверно,4.0,Значение элемента достоверно,9.0,Значение элемента достоверно,,Значение элемента отсутствует,0.1,Значение элемента достоверно,0.0,Значение элемента достоверно,0.7,Значение элемента достоверно,96.0,Значение элемента достоверно,964.3,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,2015-01-03 00:00:00,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,97.0,Значение элемента достоверно,10.0,Значение элемента достоверно,Ливневые осадки,Значение элемента достоверно,Дождь,Значение элемента достоверно,215.0,Значение элемента достоверно,5.0,Значение элемента достоверно,9.0,Значение элемента достоверно,,Значение элемента отсутствует,0.7,Значение элемента достоверно,0.1,Значение элемента достоверно,0.6,Значение элемента достоверно,96.0,Значение элемента достоверно,962.5,Значение элемента достоверно
9,ALEKSAN,56.4,38.75,2015-01-03 03:00:00,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,16.0,Значение элемента достоверно,97.0,Значение элемента достоверно,10.0,Значение элемента достоверно,Пасмурно или облачность более 5 баллов,Значение элемента достоверно,Небо без изменений,Значение элемента достоверно,217.0,Значение элемента достоверно,4.0,Значение элемента достоверно,9.0,Значение элемента достоверно,4.3,Значение элемента достоверно,1.4,Значение элемента достоверно,0.7,Значение элемента достоверно,1.5,Значение элемента достоверно,93.0,Значение элемента достоверно,961.1,Значение элемента достоверно
